YEAR,MEAN_TEMPERATURE_CALGARY,MEAN_TEMPERATURE_EDMONTON,MEAN_TEMPERATURE_HALIFAX,MEAN_TEMPERATURE_MONCTON,MEAN_TEMPERATURE_MONTREAL,MEAN_TEMPERATURE_OTTAWA,MEAN_TEMPERATURE_QUEBEC,MEAN_TEMPERATURE_SASKATOON,MEAN_TEMPERATURE_STJOHNS,MEAN_TEMPERATURE_TORONTO,MEAN_TEMPERATURE_VANCOUVER,MEAN_TEMPERATURE_WHITEHORSE,MEAN_TEMPERATURE_WINNIPEG
1940,3.685140946,,,4.300191113,,4.511111443,,2.205255614,,6.037038608,10.86539357,9.575824176,1.294652811
1941,4.86696548,,,5.038409115,8.740869565,5.821639194,,2.789825218,,8.072343924,10.81730928,,3.296637469
1942,5.491188787,,,7.151613275,8.046247479,7.610485612,,4.716230348,5.827125662,8.727474697,11.0039367,7.585544331,4.712961109
1943,4.396462547,,,4.651686641,5.285649362,4.629978566,5.22426939,2.080273199,4.47165658,6.543030737,9.605631005,0.370588868,2.102906846
1944,4.950400143,,,5.493069159,6.351403621,6.065429408,4.72493064,2.758161132,4.785382824,7.577158982,10.30805065,1.509845318,3.257062231
1945,3.217883822,,,5.49986494,6.578201822,5.88758513,4.855481619,1.471986568,4.817188936,6.923531872,10.05662248,-0.111488747,2.16187257
1946,4.169026185,,,5.559647502,6.915692653,6.059162486,4.55897879,1.774665353,4.975946843,8.066158757,9.736827122,-0.44257618,2.596908279
1947,3.693854515,,,5.725470616,6.435890004,5.545745673,4.402477239,1.332469276,4.563657538,7.494150276,10.02808183,0.428467909,2.194363221
1948,2.9884914,,,4.781754658,6.942283803,6.093517081,4.577281481,1.23208612,3.879774845,7.491668657,9.146368849,-2.118140827,2.615593645
1949,3.326917497,,,6.248928505,7.753588948,6.766563824,5.415844325,1.727925619,4.896036467,8.814869813,9.181958973,-0.649007606,2.474123836
1950,1.307945205,,,5.441369863,6.232876712,5.234246575,4.382191781,-0.702191781,4.4,7.063561644,8.985205479,-2.506868132,-0.026849315
1951,1.23260274,,,6.028493151,6.604657534,5.910684932,4.550410959,-1.028219178,6.176986301,7.721643836,9.404657534,-2.061917808,1.326849315
1952,3.882240437,,,5.803278689,7.328688525,6.686612022,5.116939891,2.365300546,5.82431694,8.395901639,9.800819672,-0.065300546,3.937431694
